consultant_id,original,current,earns_at,expires_at,description
200669134,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
200126310,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
207545826,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
207268679,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
200249153,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
200765314,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
200240064,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
200272801,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
200062482,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
200039559,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
207496861,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
200001366,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
200056094,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
200012292,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
200822268,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
207325672,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
207700667,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
207226583,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
207472394,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
200052017,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
200498065,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
200926591,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
207338195,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
207268443,1000,1000,2025-12-31 00:00:00+00,2026-12-31 00:00:00+00,DEC25PROMO
